id,relative_path,title,updated,status,reason,priority,size_bytes
cc01,"AI学习/Claude Code 教程/01-入门/如何使用Claude code.md","Claude Code 使用指南",2026-08-07,ready,最近已更新-补充新功能,medium,37557
cc02,"AI学习/Claude Code 教程/02-基础功能/Claude Code 常用功能.md","Claude Code 常用功能",2026-07-12,ready,核对2026-08现状+新功能,medium,20254
cc03,"AI学习/Claude Code 教程/02-基础功能/Claude Code CLI 完整参考.md","Claude Code CLI 完整参考",2026-07-12,ready,核对CLI参数/环境变量,medium,29731
cc04,"AI学习/Claude Code 教程/02-基础功能/Claude Code 会话管理.md","Claude Code 会话管理",2026-07-12,ready,核对会话/上下文现状,medium,21067
cc05,"AI学习/Claude Code 教程/02-基础功能/Claude Code 模型与推理设置.md","Claude Code 模型与推理设置",2026-08-07,ready,最近已更新-核对模型/eFFort,medium,30797
cc06,"AI学习/Claude Code 教程/02-基础功能/settings.json 配置详解.md","settings.json 配置详解",2026-08-07,ready,draft需补全+核对最新配置字段,high,10944
cc07,"AI学习/Claude Code 教程/03-进阶应用/Claude Code Checkpoints 使用指南.md","Claude Code Checkpoints 使用指南",2026-07-12,ready,核对Checkpoints新功能,medium,12768
cc08,"AI学习/Claude Code 教程/03-进阶应用/Claude Code Hooks 使用指南.md","Claude Code Hooks 使用指南",2026-07-12,ready,核对Hooks事件/钩子现状,medium,17009
cc09,"AI学习/Claude Code 教程/03-进阶应用/Claude Code Memory 完整指南.md","Claude Code Memory 完整指南",2026-07-12,ready,核对CLAUDE.md/内存体系,medium,20716
cc10,"AI学习/Claude Code 教程/03-进阶应用/Claude Code Subagents 完整指南.md","Claude Code Subagents 完整指南",2026-07-12,ready,核心大篇-核对Subagents模式,high,44487
cc11,"AI学习/Claude Code 教程/03-进阶应用/Claude Code 插件系统使用指南.md","Claude Code 插件系统使用指南",2026-07-12,ready,核对插件系统现状,medium,13445
cc12,"AI学习/Claude Code 教程/04-高级功能/Claude Code 高级功能.md","Claude Code 高级功能",2026-07-12,ready,总览-核对新能力,high,31351
cc13,"AI学习/Claude Code 教程/04-高级功能/Claude Code Slash Commands 完整参考.md","Claude Code Slash Commands 完整参考",2026-07-12,ready,核对内置命令+自定义,medium,20370
cc14,"AI学习/Claude Code 教程/04-高级功能/Claude MCP 使用指南.md","Claude MCP 使用指南",2026-07-12,ready,核对MCP协议现状,medium,29646
cc15,"AI学习/Claude Code 教程/04-高级功能/如何编写Skills.md","Skills 编写实战指南",2026-07-12,ready,核对Skills规范,medium,7388
cc16,"AI学习/Claude Code 教程/04-高级功能/CLAUDE.md 使用指南.md","CLAUDE.md 使用指南",2026-07-27,ready,最近已更新-核对,medium,14985
cc17,"AI学习/Claude Code 教程/04-高级功能/Claude Code 定时任务自动化指南.md","Claude Code 定时任务自动化指南",2026-07-12,ready,核对Cron/loop/launchd,medium,40668
cc18,"AI学习/Claude Code 教程/04-高级功能/Claude Code Dynamic Workflows 使用指南.md","Claude Code Dynamic Workflows 使用指南",2026-07-12,ready,核对Workflow编排,medium,20895
cc19,"AI学习/Claude Code 教程/04-高级功能/LLM-Prompt-Caching-提示缓存.md","LLM Prompt Caching 提示缓存",2026-07-31,ready,draft状态-核对缓存规则,medium,10516
cc-skip-01,"AI学习/Claude Code 教程/Claude Code MOC.md","Claude Code 教程 MOC",2026-07-31,skip,索引文件-P5单独处理,skip,4341
cc-skip-02,"AI学习/Claude Code 教程/sortspec.md","sortspec",,skip,非学习笔记,skip,1365
cc-skip-03,"AI学习/Claude Code 教程/01-入门/如何使用Claude code-update_report.md","更新报告遗留",,skip,历史单篇更新报告,skip,3204
cc-skip-04,"AI学习/Claude Code 教程/高级功能/CLAUDE.md 使用指南-update_report.md","更新报告遗留",,skip,历史单篇更新报告,skip,1966
