id,relative_path,title,updated,status,reason,priority,size_bytes
1,如何使用Claude code.md,Claude Code 使用指南,2026-05-15,candidate,基础入门笔记，需按最新文档刷新,medium,13697
2,Claude Code 常用功能.md,Claude Code 常用功能,2026-05-15,candidate,常用功能可能已有新增/变更,medium,18887
3,Claude Code CLI 完整参考.md,Claude Code CLI 完整参考,2026-04-27,candidate,CLI 命令可能已更新，需核对最新文档,high,28445
4,Claude Code 模型与推理设置.md,Claude Code 模型与推理设置,2026-04-07,candidate,模型选择/推理设置可能已变化,high,28788
5,高级功能/CLAUDE.md 使用指南.md,CLAUDE.md 使用指南,2026-05-15,candidate,配置格式规范可能更新,medium,7638
6,Claude Code 插件系统使用指南.md,Claude Code 插件系统使用指南,2026-04-05,candidate,插件系统可能有变化,medium,12837
7,Claude Code Hooks 使用指南.md,Claude Code Hooks 使用指南,2026-04-05,candidate,Hooks API 可能变化,high,16004
8,Claude Code 会话管理.md,Claude Code 会话管理,2026-04-05,candidate,会话管理功能可能更新,medium,18849
9,Claude Code Subagents 完整指南.md,Claude Code Subagents 完整指南,2026-04-05,candidate,Subagents 是核心功能，需重点更新,high,35276
10,Claude Code Slash Commands 完整参考.md,Claude Code Slash Commands 完整参考,2026-04-05,candidate,自定义 slash 命令可能变化,medium,19737
11,Claude Code Memory 完整指南.md,Claude Code Memory 完整指南,2026-04-05,candidate,Memory 机制可能更新,high,19201
12,Claude Code Checkpoints 使用指南.md,Claude Code Checkpoints 使用指南,2026-04-05,candidate,Checkpoints 功能可能变化,medium,12277
13,高级功能/Claude Code Dynamic Workflows 使用指南.md,Claude Code Dynamic Workflows 使用指南,2026-06-18,candidate,较新的笔记，仍需核对,medium,20365
14,高级功能/如何编写Skills.md,Skills 编写实战指南,2026-05-15,candidate,Skills 编写规范可能更新,medium,5679
15,Claude Code 定时任务自动化指南.md,Claude Code 定时任务自动化指南,2026-03-08,candidate,最旧的笔记之一，优先级高,high,39060
16,Claude Code 高级功能.md,Claude Code 高级功能,2026-04-05,candidate,覆盖面广，需逐一核对特色功能,medium,27261
17,Subagent 实战练习.md,Subagent 实战练习,2026-04-05,candidate,配合 Subagents 更新,medium,9707
18,Claude-Code-多Agent流程设计.md,Claude Code 多 Agent 流程设计,2026-04-05,candidate,多Agent是重要主题,medium,16552
19,Claude MCP 使用指南.md,Claude MCP 使用指南,2026-04-04,candidate,MCP 协议可能更新,high,28659
20,sortspec.md,Sortspec - Claude Code 教程,2026-05-07,needs-review,配置工具非学习笔记，需确认是否纳入更新,low,1141
